index,prob_p1,is_p1,prob_pt
16,0.7157894736842108,FALSE,0.8095238095238091
16,0.1246753246753247,FALSE,0.5444772503596043
10,0.028303030271229376,FALSE,0.36617948953641555
6,0.2837891270318419,TRUE,0.2837891270318419
17,0.7548387096774194,FALSE,1
16,0.35392773461585897,TRUE,0.35392773461585897
12,0.019565233374948376,FALSE,0.46009331719594593
6,0.10471662792880342,FALSE,0.6965174129353243
6,0.7482685937970476,TRUE,0.7482685937970476
18,0.010319917440660475,FALSE,0.5779153766769863
11,0.8636363636363679,TRUE,0.8636363636363679
9,0.5974239560396716,FALSE,0.8815789473684185
18,0.5238095238095242,TRUE,0.5238095238095242
13,0.19741971719307463,TRUE,0.19741971719307463
10,0.28848999686957555,TRUE,0.28848999686957555
11,0.5282806924805076,FALSE,0.7028571428571417
10,0.0022501172287461833,FALSE,0.6969696969696972
17,0,FALSE,0.9047619047619042
